Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
New York,Weekly,7/26/2020 0:00,Organic,1.77,118212.47,8241.44,12298.51,1839.15,95833.37,95422.3,411.07,0
New York,Weekly,7/19/2020 0:00,Organic,1.86,112912,9218.43,13256.4,1846.69,88590.48,88393.18,197.3,0
Northeast,Weekly,8/9/2020 0:00,Organic,1.8,276256.96,16599.56,25746.38,271.13,233639.89,216305.36,17334.53,0
Northeast,Weekly,8/2/2020 0:00,Organic,1.74,309421.82,18134.45,23801.71,809.25,266676.41,243140.12,23536.29,0
Northeast,Weekly,7/26/2020 0:00,Organic,1.64,340983.11,16404.14,30002.6,1619.61,292956.76,272776.19,20180.57,0
Northeast,Weekly,7/19/2020 0:00,Organic,1.79,310226.82,18227.89,33719.22,1650.18,256629.53,235888.27,20741.26,0
Northern New England,Weekly,8/9/2020 0:00,Organic,1.75,22538.62,36.17,830.07,0,21672.38,11460.77,10211.61,0
Northern New England,Weekly,8/2/2020 0:00,Organic,1.69,30854.68,99.31,814.3,0,29941.07,13733.35,16207.72,0
Northern New England,Weekly,7/26/2020 0:00,Organic,1.57,36612.35,53.28,928.37,0,35630.7,21113.21,14517.49,0
Northern New England,Weekly,7/19/2020 0:00,Organic,1.7,35610.13,50.79,1324.64,0,34234.7,18750.53,15484.17,0
Orlando,Weekly,8/9/2020 0:00,Organic,1.1,3776.01,75.38,6.16,0,3694.47,3431.14,263.33,0
Orlando,Weekly,8/2/2020 0:00,Organic,1.73,4610.03,106.55,7.47,0,4496.01,3126.01,1370,0
Orlando,Weekly,7/26/2020 0:00,Organic,2.22,5207.23,45.38,3.16,0,5158.69,2434.25,2724.44,0
Orlando,Weekly,7/19/2020 0:00,Organic,1.92,6346.57,109.69,7.8,0,6229.08,3723.52,2505.56,0
Philadelphia,Weekly,8/9/2020 0:00,Organic,1.73,30381.77,1690.52,3683.18,0,25008.07,23047.33,1960.74,0
Philadelphia,Weekly,8/2/2020 0:00,Organic,1.71,30492.44,1780.04,2812.26,0,25900.14,23990.91,1909.23,0
Philadelphia,Weekly,7/26/2020 0:00,Organic,1.59,34809.06,1647.23,3738.11,0,29423.72,27867.71,1556.01,0
Philadelphia,Weekly,7/19/2020 0:00,Organic,1.71,30804.55,1826.93,3858.7,0,25118.92,24026.57,1092.35,0
Phoenix/Tucson,Weekly,8/9/2020 0:00,Organic,1.31,29686.06,2317.77,1031.85,0,26336.44,16357.27,9979.17,0
Phoenix/Tucson,Weekly,8/2/2020 0:00,Organic,1.31,26999.09,2032.98,784.91,0,24181.2,13947.74,10233.46,0
Phoenix/Tucson,Weekly,7/26/2020 0:00,Organic,1.26,30010.98,2743.04,790.74,4.58,26472.62,15549.01,10923.61,0
Phoenix/Tucson,Weekly,7/19/2020 0:00,Organic,1.35,29323.15,2856.1,1068.95,0,25398.1,14206.82,11191.28,0
Pittsburgh,Weekly,8/9/2020 0:00,Organic,1.55,9754.93,3247.66,6.89,0,6500.38,6454.44,45.94,0
Pittsburgh,Weekly,8/2/2020 0:00,Organic,1.5,10983.6,2952.15,15.49,0,8015.96,8004.48,11.48,0
Pittsburgh,Weekly,7/26/2020 0:00,Organic,1.41,11395.08,3256.23,6.88,0,8131.97,8091.83,40.14,0
Pittsburgh,Weekly,7/19/2020 0:00,Organic,1.43,11220.42,2845.64,5.16,0,8369.62,8369.62,0,0
Plains,Weekly,8/9/2020 0:00,Organic,1.26,68627.01,7509.13,2748.21,14.84,58354.83,52638.02,5716.81,0
Plains,Weekly,8/2/2020 0:00,Organic,1.28,66044.44,9069.09,2844.7,14.87,54115.78,44964.47,9151.31,0
Plains,Weekly,7/26/2020 0:00,Organic,1.31,67595.86,12313.18,3243.18,12.74,52026.76,41422.68,10604.08,0
Plains,Weekly,7/19/2020 0:00,Organic,1.31,71420.04,12440.96,2197.48,6.37,56775.23,47093.12,9682.11,0
Portland,Weekly,8/9/2020 0:00,Organic,1.7,49019.76,329.15,6605.46,0,42085.15,17700.27,24384.88,0
Portland,Weekly,8/2/2020 0:00,Organic,1.76,52515.22,406.42,6765.05,0,45343.75,8144.49,37199.26,0
Portland,Weekly,7/26/2020 0:00,Organic,1.77,49039.42,448.55,6016.76,0,42574.11,7852.97,34721.14,0
Portland,Weekly,7/19/2020 0:00,Organic,1.71,58863.4,439.35,7321.39,0,51102.66,11541.87,39528.37,32.42
Raleigh/Greensboro,Weekly,8/9/2020 0:00,Organic,1.52,23701.84,603.09,4420.37,51.47,18626.91,17564.53,1062.38,0
Raleigh/Greensboro,Weekly,8/2/2020 0:00,Organic,1.57,23197.73,887.34,4519.5,64.14,17726.75,16969.87,756.88,0
Raleigh/Greensboro,Weekly,7/26/2020 0:00,Organic,1.66,20094.9,887.01,5025.87,80.57,14101.45,13496.13,605.32,0
Raleigh/Greensboro,Weekly,7/19/2020 0:00,Organic,1.58,23932.18,818.8,4570.31,54.82,18488.25,17275.74,1212.51,0
Richmond/Norfolk,Weekly,8/9/2020 0:00,Organic,1.47,18717.08,1.34,1915.84,12.02,16787.88,8833.77,7954.11,0
Richmond/Norfolk,Weekly,8/2/2020 0:00,Organic,1.45,21032.53,9.33,2168.05,17.33,18837.82,8922.04,9915.78,0
Richmond/Norfolk,Weekly,7/26/2020 0:00,Organic,1.17,30830.47,12.99,2439.58,10.65,28367.25,15507.96,12859.29,0
Richmond/Norfolk,Weekly,7/19/2020 0:00,Organic,1.35,22760.58,18.32,2342.01,9.31,20390.94,6909.84,13481.1,0
Roanoke,Weekly,8/9/2020 0:00,Organic,1.43,12495.09,22.5,1461.58,0,11011.01,2864.61,8146.4,0
Roanoke,Weekly,8/2/2020 0:00,Organic,1.48,13600.17,23.29,1575.31,0,12001.57,3005.42,8996.15,0
Roanoke,Weekly,7/26/2020 0:00,Organic,1.35,16544.95,15.18,1808.82,0,14720.95,4652.08,10068.87,0
Roanoke,Weekly,7/19/2020 0:00,Organic,1.32,17261.04,12.7,1582.99,0,15665.35,5328.17,10337.18,0
Sacramento,Weekly,8/9/2020 0:00,Organic,1.81,20724.91,2842,3141.37,1.35,14740.19,14734.17,6.02,0
Sacramento,Weekly,8/2/2020 0:00,Organic,1.83,18315.32,3460.94,2807.7,0,12046.68,12027.14,19.54,0
Sacramento,Weekly,7/26/2020 0:00,Organic,1.87,18811.04,6200.55,3089.47,9.45,9511.57,9070.48,441.09,0
Sacramento,Weekly,7/19/2020 0:00,Organic,1.9,18100.37,4549.35,3415.57,4.04,10131.41,9306.52,824.89,0
San Diego,Weekly,8/9/2020 0:00,Organic,1.6,39642.91,1158.35,1701.99,0,36782.57,12045.07,24737.5,0
San Diego,Weekly,8/2/2020 0:00,Organic,1.98,37418.35,1103.93,1107.33,0,35207.09,12159.03,23048.06,0
San Diego,Weekly,7/26/2020 0:00,Organic,1.61,41594.97,1378.65,1698.24,6.8,38511.28,9912.68,28598.6,0
San Diego,Weekly,7/19/2020 0:00,Organic,2.03,40155.77,1589.48,1343.14,30.58,37192.57,10312.06,26880.51,0
San Francisco,Weekly,8/9/2020 0:00,Organic,2,65576.42,4305.65,5293.87,0,55976.9,55939.51,37.39,0
San Francisco,Weekly,8/2/2020 0:00,Organic,2.02,65878.7,8759.07,5564.88,4.39,51550.36,51444.67,105.69,0
San Francisco,Weekly,7/26/2020 0:00,Organic,2.09,57423.05,14926.39,6400.79,2.93,36092.94,33249.12,2843.82,0
San Francisco,Weekly,7/19/2020 0:00,Organic,2.13,55786.28,11703.25,6699.7,8.78,37374.55,30535.33,6839.22,0
Seattle,Weekly,8/9/2020 0:00,Organic,2.08,53057.86,498.78,6535.75,0,46023.33,18494.11,27529.22,0
Seattle,Weekly,8/2/2020 0:00,Organic,2.15,58640.53,480.69,7319.98,0,50839.86,5896.08,44940.85,2.93
Seattle,Weekly,7/26/2020 0:00,Organic,2.18,59821.3,545.71,6978.21,9.23,52288.15,6745.07,45543.08,0
Seattle,Weekly,7/19/2020 0:00,Organic,2.03,70909.96,776.26,8482.27,10.53,61640.9,9527.8,52085.32,27.78
South Carolina,Weekly,8/9/2020 0:00,Organic,1.59,22416.41,386.47,3721.81,37.4,18270.73,11168.9,7101.83,0
South Carolina,Weekly,8/2/2020 0:00,Organic,1.6,22020.13,526.33,3564.67,37.33,17891.8,10034.6,7857.2,0
South Carolina,Weekly,7/26/2020 0:00,Organic,1.6,28357.79,479.08,3894.01,67.22,23917.48,13664.06,10253.42,0
South Carolina,Weekly,7/19/2020 0:00,Organic,1.31,40209.33,643.71,4072.29,32.8,35460.53,25212.91,10247.62,0
South Central,Weekly,8/9/2020 0:00,Organic,1.3,244336.12,12469.8,4104.87,2151.22,225610.23,160279.91,65330.32,0
South Central,Weekly,8/2/2020 0:00,Organic,1.25,230085.03,12258.01,3224.97,1915.69,212686.36,144635.76,68050.6,0
South Central,Weekly,7/26/2020 0:00,Organic,1.22,224926.73,12446.33,3039.03,2864.99,206576.38,137752.02,68824.36,0
South Central,Weekly,7/19/2020 0:00,Organic,1.29,239365.56,12929.58,3050.26,3393.03,219992.69,148681.33,71311.36,0
Southeast,Weekly,8/9/2020 0:00,Organic,1.54,101769.95,1495.61,8938.92,33.56,91301.86,40740.05,50561.81,0
Southeast,Weekly,8/2/2020 0:00,Organic,1.65,110160.17,1522.81,9083.19,33.48,99520.69,36515.52,63005.17,0
Southeast,Weekly,7/26/2020 0:00,Organic,1.75,134257.76,1282.08,10013.02,60.25,122902.41,44692.36,78210.05,0
Southeast,Weekly,7/19/2020 0:00,Organic,1.49,167679.17,1527.22,10385.27,29.35,155737.33,77834.27,77903.06,0
Spokane,Weekly,8/9/2020 0:00,Organic,1.65,7459.69,94.12,949.73,0,6415.84,3195.39,3220.45,0
Spokane,Weekly,8/2/2020 0:00,Organic,1.91,8821.21,21.37,780.07,0,8019.77,2726.72,5293.05,0
Spokane,Weekly,7/26/2020 0:00,Organic,1.87,8613.73,36.3,740.95,0,7836.48,2111.53,5724.95,0
Spokane,Weekly,7/19/2020 0:00,Organic,1.74,11008.79,46.8,1115.78,0,9846.21,3064.3,6779.54,2.37
St. Louis,Weekly,8/9/2020 0:00,Organic,1.96,7781.12,1491.12,1425.83,0,4864.17,2702.22,2161.95,0
St. Louis,Weekly,8/2/2020 0:00,Organic,1.93,7117.61,1077.72,1326.5,0,4713.39,2836.66,1876.73,0
St. Louis,Weekly,7/26/2020 0:00,Organic,1.83,8149.26,1139.52,1517.69,0,5492.05,3618.89,1873.16,0
St. Louis,Weekly,7/19/2020 0:00,Organic,1.77,7267.52,1568.73,1066.28,1.44,4631.07,3228.88,1402.19,0
Syracuse,Weekly,8/9/2020 0:00,Organic,1.44,4881.24,254.98,203.17,0,4423.09,4044.33,378.76,0
Syracuse,Weekly,8/2/2020 0:00,Organic,1.23,7269.12,208.5,110.38,0,6950.24,6491.46,458.78,0
Syracuse,Weekly,7/26/2020 0:00,Organic,1.21,6456.79,246.5,141.64,0,6068.65,5601.06,467.59,0
Syracuse,Weekly,7/19/2020 0:00,Organic,1.78,3905.05,273.25,261.02,2.72,3368.06,2926.99,441.07,0
Tampa,Weekly,8/9/2020 0:00,Organic,1.17,2842.57,143.94,5.22,0,2693.41,2395.63,297.78,0
Tampa,Weekly,8/2/2020 0:00,Organic,2,3555.73,108.22,3,0,3444.51,1972.29,1472.22,0
Tampa,Weekly,7/26/2020 0:00,Organic,2.28,4816.32,104.72,2,0,4709.6,2105.16,2604.44,0
Tampa,Weekly,7/19/2020 0:00,Organic,1.9,6001.9,124.61,4.22,0,5873.07,3661.96,2211.11,0
Total U.S.,Weekly,8/9/2020 0:00,Organic,1.58,1917565.35,97756.09,144167.18,3304.43,1672337.65,1029951.54,642383.15,2.96
Total U.S.,Weekly,8/2/2020 0:00,Organic,1.56,2068804.77,145109.02,142625.03,3548.5,1777518.85,1060299.35,717213.59,5.91
Total U.S.,Weekly,7/26/2020 0:00,Organic,1.5,2247999.39,180846.17,159211.38,6154.3,1901762.16,1117192.67,784534.08,35.41
Total U.S.,Weekly,7/19/2020 0:00,Organic,1.61,2132595.2,143635.95,164059.77,6887.02,1818012.46,1006362.76,811551,98.7
West,Weekly,8/9/2020 0:00,Organic,1.54,366346.59,27641.1,26732.35,635.63,311337.51,182111.44,129223.11,2.96
West,Weekly,8/2/2020 0:00,Organic,1.4,486043.69,64628.7,28789.02,568.04,392057.93,220187.26,171864.76,5.91
West,Weekly,7/26/2020 0:00,Organic,1.37,556429.93,82511.02,27912.53,1350.63,444655.75,263296.35,181323.99,35.41
West,Weekly,7/19/2020 0:00,Organic,1.63,406118.56,50971.23,29851.76,1537.93,323757.64,134306.72,189352.22,98.7
West Tex/New Mexico,Weekly,8/9/2020 0:00,Organic,1.45,30949.07,787.62,2757.96,1658.58,25744.91,21405.13,4339.78,0
West Tex/New Mexico,Weekly,8/2/2020 0:00,Organic,1.32,30201.83,820.86,1213.82,1428.23,26738.92,22439.26,4299.66,0
West Tex/New Mexico,Weekly,7/26/2020 0:00,Organic,1.5,31640.51,1233.36,920.43,2721.57,26765.15,21678.52,5086.63,0
West Tex/New Mexico,Weekly,7/19/2020 0:00,Organic,1.53,32586.29,1797.24,1317.65,3173.4,26298,21327.11,4970.89,0
Albany,Weekly,9/6/2020 0:00,Conventional,1.3,139712.86,8926.79,104185.45,118,26482.62,17394.83,8510.43,577.36
Albany,Weekly,8/30/2020 0:00,Conventional,0.99,154424.58,9863.41,120471.13,256.08,23833.96,17356.28,5634.35,843.33
Albany,Weekly,8/23/2020 0:00,Conventional,1.08,134480.21,11882.08,95200.69,368.16,27029.28,19883.99,6131.4,1013.89
Albany,Weekly,8/16/2020 0:00,Conventional,0.92,177569.26,9204,137030.84,375.76,30958.66,22328.27,7272.06,1358.33
Atlanta,Weekly,9/6/2020 0:00,Conventional,0.81,967542.35,402107.77,25116.8,154.37,540163.41,487671.8,49502.97,2988.64
Atlanta,Weekly,8/30/2020 0:00,Conventional,0.8,966891.9,360313.13,26025.55,115.59,580437.63,529148.43,47618.04,3671.16
Atlanta,Weekly,8/23/2020 0:00,Conventional,0.81,952582.79,381593.07,24079.85,376.69,546533.18,488749.7,53681.07,4102.41
Atlanta,Weekly,8/16/2020 0:00,Conventional,0.82,911479.09,371639.62,25720.44,282.13,513836.9,447857.77,61487.93,4491.2
Baltimore/Washington,Weekly,9/6/2020 0:00,Conventional,1,1157352.09,114543.47,463911.16,4732.33,574165.13,245117.49,322831.54,6216.1
Baltimore/Washington,Weekly,8/30/2020 0:00,Conventional,1.21,1041962.04,120705.52,390832.67,10217.67,520206.18,253281.36,227511.46,39413.36
Baltimore/Washington,Weekly,8/23/2020 0:00,Conventional,1.21,1053467.07,113048.43,391407.35,11839.82,537171.47,262900.18,225080.64,49190.65
Baltimore/Washington,Weekly,8/16/2020 0:00,Conventional,1.22,1036294.55,127050.45,392764.56,12948.13,503531.41,273371.39,172718.01,57442.01
Boise,Weekly,9/6/2020 0:00,Conventional,1.09,137723.73,34041.83,9226.14,1020.73,93435.03,60099.66,33278.61,56.76
Boise,Weekly,8/30/2020 0:00,Conventional,1.14,136101.92,31920.53,10230.62,1369.12,92581.65,51319.34,40091.96,1170.35
Boise,Weekly,8/23/2020 0:00,Conventional,1.15,133653.67,35039.93,7295.73,1453.77,89864.24,51292.83,37275.99,1295.42
Boise,Weekly,8/16/2020 0:00,Conventional,1.14,138118.64,36478.4,8543.05,1475.68,91621.51,51819.54,38065.07,1736.9
Boston,Weekly,9/6/2020 0:00,Conventional,1.3,804489.37,17749.83,505822.44,430.21,280486.89,258079.13,21058.87,1348.89
Boston,Weekly,8/30/2020 0:00,Conventional,1.18,950843.63,18162.13,507161.98,405.22,425114.3,413383.53,10341.88,1388.89
Boston,Weekly,8/23/2020 0:00,Conventional,1.26,867600.47,17413.85,469942.11,412.58,379831.93,353821.69,24750.66,1259.58
Boston,Weekly,8/16/2020 0:00,Conventional,1.32,802814.37,17153.35,528066.58,562.28,257032.16,242789.83,13086.77,1155.56
Buffalo/Rochester,Weekly,9/6/2020 0:00,Conventional,1,198865.79,27387.89,56933.73,2800.67,111743.5,106532.12,3668.46,1542.92
Buffalo/Rochester,Weekly,8/30/2020 0:00,Conventional,1.02,196768.55,25141.93,55021.19,2598.14,114007.29,108989.39,3244.43,1773.47
Buffalo/Rochester,Weekly,8/23/2020 0:00,Conventional,0.94,246139.6,66355.13,56812.49,3324.71,119647.27,103762.12,13162.23,2722.92
Buffalo/Rochester,Weekly,8/16/2020 0:00,Conventional,1.03,211627.02,24217.64,57808.21,2425.11,127176.06,100706.24,23801.21,2668.61
California,Weekly,9/6/2020 0:00,Conventional,1.14,8007006.6,2417977.19,804852.99,149698.04,4634478.38,2844427.19,1557125.36,232925.83
California,Weekly,8/30/2020 0:00,Conventional,1.12,7846112.28,2095603.66,1030338.72,159135.41,4561034.49,2430970.76,1961025.74,169037.99
California,Weekly,8/23/2020 0:00,Conventional,1.11,8435743.02,2488864.61,889081.89,165288.06,4892508.46,2610309.65,2089880.7,192318.11
California,Weekly,8/16/2020 0:00,Conventional,1.12,8252449.8,2156813.96,1408874.24,179388.66,4507372.94,2310468.75,2080099.19,116805
Charlotte,Weekly,9/6/2020 0:00,Conventional,1.13,380578.61,174975.1,64776.84,5312.23,135514.44,76616.84,55901.77,2995.83
Charlotte,Weekly,8/30/2020 0:00,Conventional,1.04,384962.67,177714.7,64442.4,6125.86,136679.71,76035.35,57116.44,3527.92
Charlotte,Weekly,8/23/2020 0:00,Conventional,1.15,372302.61,161720.78,64507.35,6080.75,139993.73,80135.09,55969.88,3888.76
Charlotte,Weekly,8/16/2020 0:00,Conventional,1.18,368691.79,157177.92,65983.98,7117.45,138412.44,77710.46,56725.32,3976.66
Chicago,Weekly,9/6/2020 0:00,Conventional,1.33,912721.23,95854.78,158498.72,48595.34,609772.39,296073.94,235304.25,78394.2
Chicago,Weekly,8/30/2020 0:00,Conventional,1.29,862438.63,117093.41,161523.67,41241.5,542580.05,223533.9,313150.17,5895.98
Chicago,Weekly,8/23/2020 0:00,Conventional,1.01,1274685.72,106480.63,153283.38,38299.54,976622.17,667690.81,279190.7,29740.66
Chicago,Weekly,8/16/2020 0:00,Conventional,1.25,934263.18,124653,157537.44,54865.15,597207.59,309962.33,247477.45,39767.81
Cincinnati/Dayton,Weekly,9/6/2020 0:00,Conventional,0.97,352530.88,80566.18,20843.28,8352.05,242769.37,218853.23,19330.22,4585.92
Cincinnati/Dayton,Weekly,8/30/2020 0:00,Conventional,0.92,367018.14,93017.9,23104.49,8363.67,242532.08,227379.14,10646.18,4506.76
Cincinnati/Dayton,Weekly,8/23/2020 0:00,Conventional,0.76,405497.13,101890.86,22612.44,9538.01,271455.82,247017.77,11574.91,12863.14
Cincinnati/Dayton,Weekly,8/16/2020 0:00,Conventional,0.74,443981.92,112003.63,24336.53,10142.38,297499.38,270573,18023.39,8902.99
Columbus,Weekly,9/6/2020 0:00,Conventional,0.89,268841.33,66534.35,20023.18,2270.76,180013.04,172760.42,5393.89,1858.73
Columbus,Weekly,8/30/2020 0:00,Conventional,0.91,275117.13,71613.12,22672.93,2139.57,178691.51,172056.82,4996.38,1638.31
Columbus,Weekly,8/23/2020 0:00,Conventional,0.74,308742.1,82337.97,20862.26,2553.57,202988.3,193964.15,5068.44,3955.71
Columbus,Weekly,8/16/2020 0:00,Conventional,0.71,333286.82,88705.21,20504.93,2816.06,221260.62,215038.89,4132.41,2089.32
Dallas/Ft. Worth,Weekly,9/6/2020 0:00,Conventional,0.72,1973402.8,701390.2,201614.26,30070.32,1040328.02,561295.74,478667.2,365.08
Dallas/Ft. Worth,Weekly,8/30/2020 0:00,Conventional,0.71,1942177.42,730836.74,228036.71,25966.09,957337.88,535401.1,421636.3,300.48
Dallas/Ft. Worth,Weekly,8/23/2020 0:00,Conventional,0.71,2000736.66,720410.44,215400.18,29770.5,1035155.54,657188.16,377594.84,372.54
Dallas/Ft. Worth,Weekly,8/16/2020 0:00,Conventional,0.75,1917537.42,707612.43,209695.08,23399.84,976830.07,625528.26,350887.62,414.19
Denver,Weekly,9/6/2020 0:00,Conventional,0.99,1164250.97,177779.19,171168.18,3694.48,811609.12,303948.37,484195.7,23465.05
Denver,Weekly,8/30/2020 0:00,Conventional,1.09,1005837.39,179358.07,124745.82,3214.56,698518.94,352943.24,326787.51,18788.19
Denver,Weekly,8/23/2020 0:00,Conventional,1.09,1033347.65,191696.51,119087.27,3845.09,718718.78,368129.75,331422.78,19166.25
Denver,Weekly,8/16/2020 0:00,Conventional,1.06,1053060.01,194285.09,122585.19,4173.02,732016.71,377995.42,331804.35,22216.94
Detroit,Weekly,9/6/2020 0:00,Conventional,0.86,569974.7,147356.23,34067.55,37151.15,351399.77,326267.06,18044.14,7088.57
Detroit,Weekly,8/30/2020 0:00,Conventional,0.75,687151.34,189904.45,41899,54199.59,401148.3,375643.04,16848.39,8656.87
Detroit,Weekly,8/23/2020 0:00,Conventional,0.78,667880.59,178901.37,37604.11,53781.03,397594.08,369011.17,19772.94,8809.97
Detroit,Weekly,8/16/2020 0:00,Conventional,0.76,702668.21,195496.7,39598,47409.2,420164.31,398807.4,11674.47,9682.44
Grand Rapids,Weekly,9/6/2020 0:00,Conventional,1.37,175026.97,23648.79,51273.75,36850,63254.43,41196.93,10485.82,11571.68
Grand Rapids,Weekly,8/30/2020 0:00,Conventional,1.01,230112.14,47192.86,56147.22,53934.1,72837.96,46773.64,9468.55,16595.77
Grand Rapids,Weekly,8/23/2020 0:00,Conventional,1.1,211573.19,23901.81,65611.31,58887.42,63172.65,39647.65,8575.21,14949.79
Grand Rapids,Weekly,8/16/2020 0:00,Conventional,1.07,241634.72,38113.03,78600.37,51142.89,73778.43,56601.19,3113.88,14063.36
Great Lakes,Weekly,9/6/2020 0:00,Conventional,1.01,4778299.09,1013992.01,621126.45,209901.26,2933279.37,2222743.53,549426,161109.84
Great Lakes,Weekly,8/30/2020 0:00,Conventional,0.93,5088789.08,1192691.67,671937.7,260490.65,2963669.06,2250148.68,627430.05,86090.33
Great Lakes,Weekly,8/23/2020 0:00,Conventional,0.87,5567384.86,1135599.85,685497.46,274980.47,3471307.08,2735274.09,603115.41,132917.58
Great Lakes,Weekly,8/16/2020 0:00,Conventional,0.9,5403344.77,1226327.12,729421.03,261310.59,3186286.03,2541336.25,507585.85,137363.93
Harrisburg/Scranton,Weekly,9/6/2020 0:00,Conventional,1.02,414995.46,158583.65,130990.11,111.2,125310.5,93785.06,29806.7,1718.74
Harrisburg/Scranton,Weekly,8/30/2020 0:00,Conventional,1.01,409625.45,159850.72,124010.09,426,125338.64,88214.23,33099.56,4024.85
Harrisburg/Scranton,Weekly,8/23/2020 0:00,Conventional,1.01,436408.04,185538.39,127138.67,551.37,123179.61,93810.56,24178.63,5190.42
Harrisburg/Scranton,Weekly,8/16/2020 0:00,Conventional,0.94,470827.55,187072.22,146289.3,931.24,136534.79,100574.27,29173.99,6786.53
Hartford/Springfield,Weekly,9/6/2020 0:00,Conventional,1.19,473538.16,10141.85,382345.66,6434.68,74615.97,62681.81,10568.59,1365.57
Hartford/Springfield,Weekly,8/30/2020 0:00,Conventional,1.34,404282.98,9531.97,304229.08,6744.81,83777.12,72546.79,9944.77,1285.56
Hartford/Springfield,Weekly,8/23/2020 0:00,Conventional,1.37,414096.91,10389.74,321428.65,2756.13,79522.39,67123.14,10827.02,1572.23
Hartford/Springfield,Weekly,8/16/2020 0:00,Conventional,1.33,453496.28,10032.7,345230.47,3434.89,94798.22,80956.86,11870.86,1970.5
Houston,Weekly,9/6/2020 0:00,Conventional,0.77,1530698.53,590561.4,171577.23,4838.49,763721.41,462143.43,276923.55,24654.43
Houston,Weekly,8/30/2020 0:00,Conventional,0.73,1665131.26,562511.9,263134.32,4250.62,835234.42,420914.32,389398.91,24921.19
Houston,Weekly,8/23/2020 0:00,Conventional,0.73,1984627.41,665500.18,312902.04,4432.07,1001793.12,467518.46,509770.26,24504.4
Houston,Weekly,8/16/2020 0:00,Conventional,0.8,1656778.29,693021.19,190836.61,3921.89,768998.6,470629.59,272216.79,26152.22
Indianapolis,Weekly,9/6/2020 0:00,Conventional,0.76,317028.79,103261.66,21501.55,3538.51,188727.07,177417.16,9669.39,1640.52
Indianapolis,Weekly,8/30/2020 0:00,Conventional,0.71,355303.38,111252.58,25452.06,3396.73,215202.01,203146.27,11061.48,994.26
Indianapolis,Weekly,8/23/2020 0:00,Conventional,0.74,336682.51,105329.47,27192.95,4111.3,200048.79,187306.62,9150.41,3591.76
Indianapolis,Weekly,8/16/2020 0:00,Conventional,0.73,346691.02,103417.23,30479.57,4677.99,208116.23,197949.53,7865.71,2300.99
Jacksonville,Weekly,9/6/2020 0:00,Conventional,0.91,273407.76,127153.62,11659.01,117.89,134477.24,106728.51,21863.74,5884.99
Jacksonville,Weekly,8/30/2020 0:00,Conventional,1.02,226366.16,90018.53,10220.4,142.88,125984.35,101154.11,17653.15,7177.09
Jacksonville,Weekly,8/23/2020 0:00,Conventional,0.99,240494.12,112036.61,10594.27,156.43,117706.81,91950.06,20792.3,4964.45
Jacksonville,Weekly,8/16/2020 0:00,Conventional,0.97,241168.25,109499.7,10371.87,372.77,120923.91,100316.97,16417.36,4189.58
Las Vegas,Weekly,9/6/2020 0:00,Conventional,0.93,473851.08,63787.99,52554.73,78.36,357430,121646.84,235620.57,162.59
Las Vegas,Weekly,8/30/2020 0:00,Conventional,0.93,487782.71,66835.2,49204.39,76.13,371666.99,113786.1,255355.86,2525.03
Las Vegas,Weekly,8/23/2020 0:00,Conventional,1,443949.82,66109.77,36473.98,59.4,341306.67,127936.17,210438.09,2932.41
Las Vegas,Weekly,8/16/2020 0:00,Conventional,0.91,490655.68,69974.95,42129.14,83.74,378467.85,109685.36,267351.97,1430.52
Los Angeles,Weekly,9/6/2020 0:00,Conventional,1,4003406.07,1271316.97,73106.09,112197.69,2546785.32,1720672.24,762096.69,64016.39
Los Angeles,Weekly,8/30/2020 0:00,Conventional,1.11,3654063.63,1152333.97,89188.06,119515.48,2293026.12,1438625.31,803468.98,50931.83
Los Angeles,Weekly,8/23/2020 0:00,Conventional,0.99,4139386.88,1235125.08,96624.06,122200.54,2685437.2,1571191,1027732.89,86513.31
Los Angeles,Weekly,8/16/2020 0:00,Conventional,1.16,3589047.92,1107189.62,79464.94,136475.95,2265917.41,1289684.57,892794.66,83438.18
Louisville,Weekly,9/6/2020 0:00,Conventional,0.96,135615.79,32631.24,9569.29,68.68,93346.58,77075.09,14537.74,1733.75
Louisville,Weekly,8/30/2020 0:00,Conventional,0.76,170627.33,45141.85,9606.54,89.61,115789.33,100301.36,12715.73,2772.24
Louisville,Weekly,8/23/2020 0:00,Conventional,0.73,176169.32,44962.17,9558.65,103.19,121545.31,104900.66,13850.77,2793.88
Louisville,Weekly,8/16/2020 0:00,Conventional,0.95,142177.37,37990.11,11312.26,144.55,92730.45,74462.51,15672.39,2595.55
Miami/Ft. Lauderdale,Weekly,9/6/2020 0:00,Conventional,0.89,1139183.26,620586.71,43546.81,392.36,474657.38,437483.32,27264.07,9909.99
Miami/Ft. Lauderdale,Weekly,8/30/2020 0:00,Conventional,0.95,970075.44,454039.98,35888.15,483.18,479664.13,440642.91,28582.33,10438.89
Miami/Ft. Lauderdale,Weekly,8/23/2020 0:00,Conventional,0.98,962672.06,438594.46,33187,644.86,490245.74,431087.37,49195.03,9963.34
Miami/Ft. Lauderdale,Weekly,8/16/2020 0:00,Conventional,1,917319.59,423246.72,33509.71,1297.18,459265.98,400223.83,47392.14,11650.01
